X coordinate,Y coordinate,stepratio,photoncount,label
184,226,0.469407,13185.3122,0
,,0.599388,58561.24075,0
,,1.315444,125600.8396,1
,,1.66458,113239.6667,1
172,229,0.987426,10775.95481,0
,,0.410874,53742.79595,0
,,0.957571,46526.26927,0
,,1.901032,454386.5634,1
186,206,1.05666,14270.48834,1
,,1.865379,530589.7177,1
,,1.925321,805344.967,1
200,196,0.626662,11408.62288,0
,,0.214649,36653.61129,0
,,1.569378,174361.0174,1
,,1.488726,274433.9361,1
235,198,1.017274,15865.38962,1
,,0.587588,135560.9893,0
,,1.376306,193927.6647,1
162,224,1.150921,13269.69142,1
,,0.714322,39135.92338,0
,,1.611313,-22754.30947,1
,,1.55684,388007.714,1
160,202,1.16292,11049.19541,1
,,0.291029,43066.50399,0
,,1.424133,208019.2242,1
,,1.639283,235893.2436,1
142,245,0.52964,23291.88575,0
,,0.513032,96523.98733,0
,,1.784141,871967.507,1
146,241,0.7806,18847.37301,0
,,1.625612,329653.9329,1
,,1.246611,137352.5319,1
139,232,0.823967,9041.179994,0
,,1.333065,84607.47451,1
142,211,0.316292,12684.41096,0
,,0.464131,29595.56056,0
,,1.775047,108241.9236,1
,,1.828107,466433.8015,1
121,240,0.554008,6562.392141,0
,,0.371656,34153.23944,0
,,1.944248,268869.2762,1
,,2.605477,339815.5663,1
104,243,1.209386,15217.10831,1
,,0.692655,22537.84093,0
,,2.167945,142625.9134,1
80,246,0.761489,21834.13166,0
,,1.864108,66828.80197,1
,,1.151082,40495.81218,1
,,0.51897,90422.13475,0
76,230,0.623222,68781.91702,0
,,1.479053,98347.23249,1
,,1.6815,271072.5878,1
84,208,0.631361,20537.56455,0
,,0.341895,40415.93437,0
,,1.382989,113079.3713,1
,,2.012444,535125.6793,1
90,199,0.603432,10710.6385,0
,,1.157701,27581.58521,1
,,2.205483,94186.11974,1
,,1.643695,97164.20491,1
130,199,0.6439,34906.8806,0
,,0.477263,78084.67977,0
,,1.733469,684898.458,1
,,1.882543,654867.1164,1
178,211,0.776568,11255.00896,0
,,2.060533,829821.3511,1
124,196,0.78888,7195.9398,0
,,1.030828,33020.71834,1
,,1.572171,249939.3471,1
,,1.74732,570661.4047,1
112,179,1.261627,6737.446289,1
,,1.525055,42497.12626,1
,,1.732396,265573.2083,1
172,211,0.551655,25358.41231,0
,,1.524689,329924.1968,1
190,193,0.856273,9734.234429,0
,,1.154081,14099.35915,1
,,1.539225,196607.5864,1
181,192,0.748934,8630.668768,0
,,1.887185,53816.54651,1
,,1.518505,117502.6087,1
,,1.740538,368787.2486,1
150,184,0.941735,10468.01927,0
,,0.482384,79164.62597,0
,,1.7409,170315.6055,1
,,1.387631,113416.7101,1
184,184,0.505238,29659.7729,0
,,1.656381,583113.6009,1
168,158,1.111003,23568.36815,1
,,0.960641,40079.11859,0
,,0.348488,58465.6194,0
,,0.494151,59027.62526,0
143,183,0.937034,14286.81122,0
,,1.40253,469833.2868,1
184,179,0.67762,21055.76552,0
,,0.303873,10711.40606,0
,,0.310524,37281.84732,0
,,1.408767,492431.4413,1
238,177,0.151405,11881.67379,0
,,0.155579,19272.84333,0
,,0.871993,72173.03858,0
,,1.192155,251631.0377,1
244,202,0.132496,8514.10813,0
,,0.142064,27313.63917,0
,,1.307382,95090.35053,1
,,1.512228,-36454.08868,1
245,186,1.197444,124306.4424,1
246,165,0.476995,11325.14998,0
,,1.449087,152972.3351,1
,,1.575241,49021.53903,1
245,160,0.289914,26039.25458,0
,,1.629532,143934.0115,1
,,1.279265,41618.24795,1
,,1.562114,149216.3518,1
231,155,0.092122,11813.21436,0
,,1.628853,304973.5878,1
,,1.594981,504207.615,1
190,170,0.199987,19217.90129,0
,,1.545,728720.5795,1
,,1.875895,759447.1933,1
220,154,0.210708,20310.46742,0
,,0.449539,34582.333,0
,,1.515005,44212.01991,1
212,154,0.253041,24838.99402,0
,,1.491918,239763.4249,1
,,1.379408,235668.5266,1
184,172,0.126889,12194.90562,0
,,0.595311,42191.51283,0
,,1.116086,86888.54535,1
181,158,1.743622,93453.7105,1
,,1.634322,392072.3509,1
,,2.737624,39592.6332,1
200,146,0.204996,34003.49061,0
,,1.98886,85915.80699,1
,,1.976298,143267.1145,1
,,0.644943,113314.8132,0
178,150,1.449131,206071.4195,1
,,1.532196,335512.6088,1
94,214,2.154712,393830.6992,1
,,0.984526,62023.59278,0
70,202,2.414359,70155.89213,1
,,1.844343,45288.95444,1
81,189,0.297684,12807.89239,0
,,2.002028,273171.4254,1
,,2.039695,437644.4257,1
,,2.850743,155156.5002,1
213,124,0.335889,8191.619294,0
,,0.220344,37750.71345,0
,,1.551258,240834.0387,1
238,124,1.619149,12127.34718,1
,,0.106751,29766.21548,0
,,1.581528,85002.2344,1
238,108,0.300218,12401.7371,0
,,0.038842,48450.51022,0
,,1.429961,860739.1553,1
,,1.436991,330197.5218,1
